country,code,region,literacy_score,press_freedom_score,polarization_score,internet_penetration,institutional_trust,platform_1,platform_2,platform_3,p1_pct,p2_pct,p3_pct
Timor-Leste,TLS,East Asia & Pacific,0.724700012207031,0.7179000000000001,0.20220994475138132,0.73,0.7206200048828124,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Tonga,TON,East Asia & Pacific,0.910500030517578,0.6839,0.45856353591160226,0.73,0.7745400122070312,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Trinidad and Tobago,TTO,Latin America & Caribbean,0.9694000244140619,0.7970999999999999,0.17790055248618786,0.68,0.8660200097656248,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Tunisia,TUN,"Middle East, North Africa, Afghanistan & Pakistan",0.8625,0.43479999999999996,0.532596685082873,0.65,0.60588,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Turkiye,TUR,Europe & Central Asia,0.972600021362305,0.294,0.6939226519337017,0.79,0.5654400085449219,YouTube,Instagram,WhatsApp,0.72,0.68,0.74
Tuvalu,TUV,East Asia & Pacific,1.0,0.54345,0.45856353591160226,0.73,0.72607,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Tanzania,TZA,Sub-Saharan Africa,0.782099990844727,0.5367999999999999,0.5535911602209945,0.3,0.6349199963378909,Facebook,WhatsApp,TikTok,0.3,0.26,0.14
Uganda,UGA,Sub-Saharan Africa,0.790582329588683,0.3761,0.7116022099447514,0.3,0.5418929318354733,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Ukraine,UKR,Europe & Central Asia,0.9943000030517579,0.6393,0.5823204419889503,0.79,0.7813000012207032,Facebook,Instagram,Telegram,0.63,0.55,0.52
Uruguay,URY,Latin America & Caribbean,0.989100036621094,0.6518,0.07513812154696142,0.68,0.7867200146484377,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
United States,USA,North America,0.9342856344506826,0.65487,0.08397790055248622,0.91,0.766636253780273,Facebook,YouTube,TikTok,0.69,0.83,0.52
Uzbekistan,UZB,Europe & Central Asia,1.0,0.35240000000000005,0.7745856353591161,0.79,0.61144,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,0.9342856344506826,0.54345,0.45856353591160226,0.68,0.699784253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
"Venezuela, RB",VEN,Latin America & Caribbean,0.9718674943813009,0.2921,0.7944751381215469,0.68,0.5640069977525204,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
British Virgin Islands,VGB,Latin America & Caribbean,0.9342856344506826,0.54345,0.45856353591160226,0.68,0.699784253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Virgin Islands (U.S.),VIR,Latin America & Caribbean,0.9342856344506826,0.54345,0.45856353591160226,0.68,0.699784253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Viet Nam,VNM,East Asia & Pacific,0.96129997253418,0.1974,0.819889502762431,0.73,0.502959989013672,Facebook,YouTube,TikTok,0.73,0.71,0.48
Vanuatu,VUT,East Asia & Pacific,0.879599990844727,0.54345,0.13259668508287292,0.73,0.6779099963378907,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Samoa,WSM,East Asia & Pacific,0.9798999786376951,0.6928,0.45856353591160226,0.73,0.807639991455078,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Kosovo,XKX,Europe & Central Asia,0.9342856344506826,0.5273,0.2928176795580111,0.79,0.690094253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
"Yemen, Rep.",YEM,"Middle East, North Africa, Afghanistan & Pakistan",0.370900001525879,0.3145,0.8718232044198895,0.65,0.3370600006103516,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
South Africa,ZAF,Sub-Saharan Africa,0.9115000152587891,0.7570999999999999,0.2011049723756907,0.3,0.8188600061035156,Facebook,WhatsApp,Instagram,0.63,0.58,0.44
Zambia,ZMB,Sub-Saharan Africa,0.8204180649912379,0.5733,0.4486187845303867,0.3,0.6721472259964951,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Zimbabwe,ZWE,Sub-Saharan Africa,0.9323000335693359,0.521,0.7138121546961326,0.3,0.6855200134277344,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
